month,paper_count,mention_count,share_pct,rolling_12m_pct,series_key,series_label,series_kind
2026-03-01,7,0,0.0,2.76273304660306,development,Development,field
1976-01-01,33,0,0.0,0.0,finance,Finance,field
1976-02-01,13,0,0.0,0.0,finance,Finance,field
1976-03-01,32,0,0.0,0.0,finance,Finance,field
1976-04-01,9,0,0.0,0.0,finance,Finance,field
1976-05-01,36,0,0.0,0.0,finance,Finance,field
1976-06-01,31,0,0.0,0.0,finance,Finance,field
1976-07-01,8,0,0.0,0.0,finance,Finance,field
1976-08-01,13,0,0.0,0.0,finance,Finance,field
1976-09-01,28,0,0.0,0.0,finance,Finance,field
1976-10-01,13,0,0.0,0.0,finance,Finance,field
1976-11-01,17,0,0.0,0.0,finance,Finance,field
1976-12-01,36,0,0.0,0.0,finance,Finance,field
1977-01-01,32,0,0.0,0.0,finance,Finance,field
1977-02-01,14,0,0.0,0.0,finance,Finance,field
1977-03-01,34,0,0.0,0.0,finance,Finance,field
1977-04-01,12,0,0.0,0.0,finance,Finance,field
1977-05-01,32,0,0.0,0.0,finance,Finance,field
1977-06-01,39,0,0.0,0.0,finance,Finance,field
1977-07-01,6,0,0.0,0.0,finance,Finance,field
1977-08-01,22,0,0.0,0.0,finance,Finance,field
1977-09-01,45,0,0.0,0.0,finance,Finance,field
1977-10-01,9,0,0.0,0.0,finance,Finance,field
1977-11-01,34,0,0.0,0.0,finance,Finance,field
1977-12-01,50,0,0.0,0.0,finance,Finance,field
1978-01-01,43,0,0.0,0.0,finance,Finance,field
1978-02-01,12,0,0.0,0.0,finance,Finance,field
1978-03-01,49,0,0.0,0.0,finance,Finance,field
1978-04-01,14,0,0.0,0.0,finance,Finance,field
1978-05-01,28,0,0.0,0.0,finance,Finance,field
1978-06-01,47,0,0.0,0.0,finance,Finance,field
1978-07-01,5,0,0.0,0.0,finance,Finance,field
1978-08-01,15,0,0.0,0.0,finance,Finance,field
1978-09-01,38,2,5.263157894736842,0.43859649122807015,finance,Finance,field
1978-10-01,15,0,0.0,0.43859649122807015,finance,Finance,field
1978-11-01,21,0,0.0,0.43859649122807015,finance,Finance,field
1978-12-01,39,0,0.0,0.43859649122807015,finance,Finance,field
1979-01-01,36,0,0.0,0.43859649122807015,finance,Finance,field
1979-02-01,23,0,0.0,0.43859649122807015,finance,Finance,field
1979-03-01,60,0,0.0,0.43859649122807015,finance,Finance,field
1979-04-01,15,0,0.0,0.43859649122807015,finance,Finance,field
1979-05-01,28,0,0.0,0.43859649122807015,finance,Finance,field
1979-06-01,50,0,0.0,0.43859649122807015,finance,Finance,field
1979-07-01,12,0,0.0,0.43859649122807015,finance,Finance,field
1979-08-01,17,0,0.0,0.43859649122807015,finance,Finance,field
1979-09-01,42,0,0.0,0.0,finance,Finance,field
1979-10-01,16,0,0.0,0.0,finance,Finance,field
1979-11-01,26,0,0.0,0.0,finance,Finance,field
1979-12-01,45,0,0.0,0.0,finance,Finance,field
1980-01-01,36,0,0.0,0.0,finance,Finance,field
1980-02-01,16,0,0.0,0.0,finance,Finance,field
1980-03-01,59,0,0.0,0.0,finance,Finance,field
1980-04-01,8,0,0.0,0.0,finance,Finance,field
1980-05-01,42,0,0.0,0.0,finance,Finance,field
1980-06-01,48,0,0.0,0.0,finance,Finance,field
1980-07-01,10,0,0.0,0.0,finance,Finance,field
1980-08-01,19,0,0.0,0.0,finance,Finance,field
