horizon,family,role,shortlist_count,mean_shortlist_penalty,route_path_share,route_mediator_share,pair_count,mean_supporting_path_count,mean_mediator_count,mean_recent_share,mean_fwci
10,environmental quality,target_family,2,45.0,0.5,0.5,29,625.5232726809593,13.068965517241379,0.3461368653421633,8.918731331229367
10,environmental regulation,target_family,1,70.0,1.0,0.0,11,321.11267311920824,12.181818181818182,0.6069364161849711,10.6354989018396
10,environmental sustainability,target_family,1,114.0,1.0,0.0,8,1226.457055697861,20.5,0.5832531280076997,9.734538152309613
10,exports,target_family,4,26.5,1.0,0.0,9,346.9772049333243,13.88888888888889,0.2397841171935235,7.547844051826804
10,financial development,target_family,5,39.6,0.8,0.2,13,6503.66189593827,15.538461538461538,0.5181494661921708,14.939738176234348
10,financing constraints,target_family,1,38.0,1.0,0.0,1,218.24128930261384,13.0,0.8142414860681114,10.26638928950159
10,foreign direct investments,target_family,3,25.333333333333332,0.6666666666666666,0.3333333333333333,8,738.9348773611514,15.5,0.4433106575963719,10.20756895131086
10,green finance,target_family,1,105.0,1.0,0.0,3,408.338080198627,14.333333333333334,0.9297520661157024,15.795450312174816
10,green innovation,target_family,5,51.2,1.0,0.0,10,243.2746693554418,12.8,0.8314255983350677,12.285981441717793
10,house prices,target_family,1,10.0,1.0,0.0,15,341.7851466100067,9.066666666666666,0.2174320524835988,7.206488380194077
10,housing prices,target_family,1,34.0,1.0,0.0,5,385.56467262074545,9.6,0.22405660377358488,6.8675171045276695
10,imports,target_family,1,117.0,0.0,1.0,13,334.0748654646173,11.692307692307692,0.22504378283712784,7.190138750358269
10,income distribution,target_family,1,50.0,1.0,0.0,38,306.30510729926203,12.921052631578947,0.1481627815092848,6.736652483803819
10,income inequality,target_family,1,48.0,1.0,0.0,9,392.8814075751151,12.11111111111111,0.2839756592292089,7.312306744610355
10,income tax rate,target_family,1,62.0,1.0,0.0,33,314.67347119961875,11.848484848484848,0.1418376449598572,5.183110954028814
10,industrial structure,target_family,2,17.5,1.0,0.0,7,153.49648189896067,11.142857142857142,0.5937007874015748,10.202391661237783
10,industrial structure upgrading,target_family,2,36.5,1.0,0.0,2,445.416939880389,11.5,0.8589341692789969,10.759244979079496
10,inflation,target_family,2,79.5,1.0,0.0,57,261.46170787934284,13.368421052631579,0.1841522797698096,6.77840774782135
10,innovation outcomes,target_family,2,10.0,0.5,0.5,11,226.6486179887067,8.909090909090908,0.3695823483057525,7.599120662611147
10,output growth,target_family,1,55.0,0.0,1.0,15,363.03755705343485,13.333333333333334,0.1520467836257309,8.66377541484716
10,price changes,target_family,2,82.5,1.0,0.0,53,309.45051967303425,9.11320754716981,0.1126760563380281,5.773551927019525
10,rate of growth,target_family,4,47.75,0.75,0.25,31,183.60126131887154,11.64516129032258,0.1140776699029126,6.991559361112286
10,regional heterogeneity,target_family,1,25.0,1.0,0.0,1,137.17987422739017,5.0,0.4736842105263157,8.17454661893397
10,renewable energy,target_family,2,74.5,0.0,1.0,12,5390.844676182029,7.0,0.6021611001964636,12.863754894784996
10,renewable energy consumption,target_family,1,40.0,0.0,1.0,8,8819.987862106838,16.25,0.634906500445236,18.10315721178263
10,state of the business cycle,target_family,5,31.4,0.8,0.2,117,319.53228861344405,15.128205128205128,0.1761155815654718,6.423015470552291
10,stock prices,target_family,1,10.0,0.0,1.0,19,328.72912344910037,8.421052631578947,0.1454940282301846,6.595071045029736
10,stock returns,target_family,1,20.0,1.0,0.0,39,315.94698498429875,11.205128205128204,0.1845386533665835,7.5566478899556815
10,sustainable development,target_family,1,31.0,0.0,1.0,6,155.29525133877073,9.5,0.5044943820224719,9.244473715547423
10,technological innovation,target_family,3,10.333333333333334,0.3333333333333333,0.6666666666666666,5,176.81351497061115,7.2,0.7292759706190975,12.237872746628817
10,technological progress,target_family,1,38.0,1.0,0.0,3,278.7281766738286,8.0,0.3966789667896679,9.040703369357916
10,unemployment,target_family,2,34.0,1.0,0.0,44,362.32665783590505,16.681818181818183,0.1423149905123339,7.0852571215468965
10,urbanization,target_family,1,26.0,0.0,1.0,14,8142.10049499196,12.142857142857142,0.4799035369774919,13.184062099753694
10,willingness to pay,target_family,6,21.5,0.3333333333333333,0.6666666666666666,33,1692.173721633091,7.424242424242424,0.1524366471734893,6.148512204447913
